N=35 and K=5,,,,,
Virtual cost,Physical cost,Optimal Cost,vCost/OptimalCost,pCost/OptimalCost,Sequence
29,23,21,1.380952380952381,1.0952380952380953,[ 7 19 17  7  1 31 29 29 25  3]
43,35,20,2.15,1.75,[15 30 10 15  7 31  4 31 33 34]
38,28,23,1.6521739130434783,1.2173913043478262,[27 14 29 25  2 15 34 22 33 21]
43,41,31,1.3870967741935485,1.3225806451612903,[10 25 26 21 10 33 25 17  8 12]
46,42,23,2.0,1.826086956521739,[24 32 22 11 32 32 26  8 10  6]
40,32,24,1.6666666666666667,1.3333333333333333,[10 33 31 24 34 27  3 18  2 16]
57,33,25,2.28,1.32,[29 12  1 18 25  7 20  7 11 16]
38,30,24,1.5833333333333333,1.25,[11 10 13 27 18  1 20  1 23 10]
32,32,22,1.4545454545454546,1.4545454545454546,[ 2 34 33 18  6 16 14 25  5 34]
43,35,22,1.9545454545454546,1.5909090909090908,[28 26 33 31 31 20  5 17  8 33]
84,58,50,1.68,1.16,"[26 10  4 15 24 34 10 33 21 31  8  1 30 17 17 28  9  5 27 15 27 33  4 12
 22]"
66,46,42,1.5714285714285714,1.0952380952380953,"[16 30 15  7 24 32 33 14 29 13 10  9 33 26 32  6 33  5  2 27 12 26  6  5
 28]"
96,58,55,1.7454545454545454,1.0545454545454545,"[23 15 20  2  9 31 22 15 10 25 28 31 30 29 26 30 16  7 22  4  9  2  8 34
  5]"
102,70,50,2.04,1.4,"[28 32 11  5 29 13 10  7 13 22 11 22 30 18 20 29 21 22 19 13 14 17  1 33
  6]"
96,68,57,1.6842105263157894,1.1929824561403508,"[14 18 26 26 17  6 16 15 22  9 24  9  8 30 21 17 26 33 10 34 24 30 12  9
  1]"
88,56,40,2.2,1.4,"[19  2  4 31 14 32 24 31  5 14 33 18 30  5 29 19 13 25 24 32 12 14 33  3
  2]"
74,54,44,1.6818181818181819,1.2272727272727273,"[33 26 30 31  6 15 33 34 32 34 12 30  9 27 27  2 14 24 25 24 16  5 22 26
  7]"
121,67,52,2.326923076923077,1.2884615384615385,"[20  2 15 34 17 17  6  2 12  9 19 29 21 19 26 11 12 17 34 20  4  5 10  6
 19]"
98,66,39,2.5128205128205128,1.6923076923076923,"[13 23 20  1 20 13 31 15  4  5 12 28  4 22 19 23 18 28 31 21 13 12 29 28
 20]"
106,66,43,2.4651162790697674,1.5348837209302326,"[28  4 11 15  7 32  4 26 27 21 22 33  3  1 14 15 34 30  7 29 11 31  7 14
 28]"
218,134,90,2.422222222222222,1.488888888888889,"[33 21 12 22 21 15  5 32  2 12 14 19 28 20 26 15 14  5 23 20 29 20  6 25
  9 26 34 16 14 26 32 27 11 19  1 16  5 21  8 25 16 25 18 30 31 20 29 19
 30 19]"
263,151,102,2.5784313725490198,1.4803921568627452,"[30 19 29  1  7 25 27 32  4 33 21 30 22 11 19 17  2 15 34 12  9 18 14 21
 31 25 26 31 18  7 10 34 31 29  3  6  5 24 27 18 23  6 32 11 30 12 17  4
  5  7]"
199,131,100,1.99,1.31,"[28 16  1 28 13  9  9 10 13 14 23 19 33  4 34 32 17 18 27 21  5 18 22  9
 32 30 24  6 31 34  6  8 18 14  7 13 34 31 16 12 29  6  6 26 34 33 15 29
 19 13]"
224,148,105,2.1333333333333333,1.4095238095238096,"[17 11  9  2 14 27 31 25 12 17 12  1  8 29 18 28 21 24 20 14  5  9 17 24
  3 30  6  9 20 31 29  5 25 24 13 34 18  9  9 16 31 34 32 27 24 27 16  7
 11 17]"
174,104,87,2.0,1.1954022988505748,"[29 31 25 21 32 21 30 21  3  6 17 26 20 17 18 32 21 34 25 31 27  7  8 12
 15 27 26  4 23 29 32  1  1 19 20 19  3 26 13 30 29 32 32  6 33 12  4 12
 34  5]"
188,98,84,2.238095238095238,1.1666666666666667,"[10 20 11 33 15 17 34 18  9 13  7 16 22 10 17 34  8 11 22 29 11 19 10 33
 30 28  9 10 19 17 29 27 15 17 28  9 28  8 34 22 21 30  3  6 20 27  5 12
 21 22]"
232,154,103,2.2524271844660193,1.4951456310679612,"[13 24  3 33 18  1  7  3 21  6 33  9 20 29 12 16 29  9 22  7 10 17 13 11
  2 11 17 19  6  9  1 29 15  1 26  2  4  8  5  5 30 17 26  3 22 25 19  2
 14 19]"
204,114,94,2.1702127659574466,1.2127659574468086,"[14 14  8  4 14 28 24  1 33 20 13 23  3 30 15 10  9  8 31  6 28  4 24 32
 28 13 17 11 23 13 16 24 33 17 18  4 25 33 34 16 11 31 32 16 25 32 21 23
 29  7]"
174,94,82,2.1219512195121952,1.146341463414634,"[33 24 23 11 20  5 32 20  9 23 23 32 27  2 14 27 19 33 10 32 15 27  1 14
 32  1  4 26  4 22  6 32 21 11 24 17 23 12 13 23  5 31 16  9  2 16 27  5
 15 17]"
210,118,85,2.4705882352941178,1.388235294117647,"[ 2 12 15 20  2 20 27 15 20 24  3 21  5  4 30 34  1 28  2 30 19  4  8 27
  4 11 19 26  7 26 24  7 19 28 16 14 28 30  6  4  7 32  5 27 30 17 15 32
 34  3]"
490,290,200,2.45,1.45,"[21 27 33  9 10 22 19  8  6 24  4  5 32 29 33  3 29 17  9 20 12  7 15 11
 32 12 16 11 16 23 17 13 26 21 30  3 12 30 18 33 25  6 32 11 19 31 26  7
 32 14 34 22 21 17  4  4 22  9 30 29  7  6 19  4 32  1 21  8  6  8  2 30
 28  8 29 31 14  6 29 13 24  1  8  7 20 31 27 28 26  4 18  7 24 31 17 30
 10 19  2 19]"
460,258,187,2.4598930481283423,1.3796791443850267,"[25 26 34 21 32 15 21 26 31  9 24 30 29 27 11 14  7 30 17 34  4 28 10 13
 20 19 28  8 13 20 10  3 28 10 33 14  3  3 31 21 14 15 24  6 11 29 18 20
 17 29 21 22 34  5 14  1 16 19 22  3 32  1  7  9 34 26  1 34 19  3  3 30
 13  5 28 32 21 14 21 32 19 25 11  1 13  3 23 18 18 31 33 31 10 30 32  6
 11 10  3 21]"
437,261,186,2.349462365591398,1.403225806451613,"[12 13 28 19  2 12  1  8 28 33 16 11 22 12 21 20  8 18 16 20 25 29  6 22
 22 28 27 33  7 12 25 22  1 30 25  4 31 32 30 19  9 25 21 24 14 27  3 10
 22 16 16  9 29  6 25 23 18 15 32 28 28 13 15  3 22 16 34 32 13 10 23 26
 20  3 16 16 23 24 22 25 16 34 17 20 28 34 11 11 19 28 34 23  4  7 23 15
  2 15 34 33]"
