N=100 and K=5,,,,,
Virtual cost,Physical cost,Optimal Cost,vCost/OptimalCost,pCost/OptimalCost,Sequence
1387,819,513,2.7037037037037037,1.5964912280701755,"[ 2 64 67 44 95  2 55 46 54 64 34 51 45 49 42 78 40 50 11 17 84 98 11 23
 24 52 82 97 89 38 99 87  5 92 62  3 74 25 63 60 94 80  3 38 12 47 76 34
 51 10  1 11 38 59 52 99 53 77  9 33 92 17 51 28 20 41 52 51 42 85 41  3
 69 43 83 43 85 16 87 90  7 99 78 36 41 90 52 69 44 82 54 97 48 88 54 61
 58 70 31 74]"
1407,741,591,2.3807106598984773,1.2538071065989849,"[45 75 22 53 51 60 68 20 98 46 84 46 73  5 10 97 32 58 36 44 48 24 78 70
 50 43 28 12 82  9 63 19 77  1 52 26  3 57 72 15 75 82 22 51 85 77 52 30
 95 93 38 94 60  8 14 59 52 19 57 80 65 31 34 98 63 12 45 60 17 35 93 32
 18 43 19 97 20 53 25 79 38 49  3 53 75 90 45 11 29 30 10 22 38 86 72 16
 88 30 25 61]"
1282,776,553,2.3182640144665463,1.403254972875226,"[82 39 68 46 18 86 74 52 90 85 72 64 88 82 10 55 62 38 19 22 23  2 54 86
 53 31 35 39 16 38  8 21 16 93 38 11 31 15 34 88 69 51 58 25 10 52 48 25
 23 44 84 71 34 97 14 23 86 92 86 44 38 84 68 75 33 22 95 42 87 60 89 86
 81 11 40 51 19 93  6 37 17 35 25  5  3 33 80 67 34 92 15 68 13 62 72 46
 29 66 80 74]"
1083,621,565,1.9168141592920354,1.0991150442477877,"[54  6 62  9 49  9 40 48 13 14 82 42 31 75 18 48 69 55 98 39 49 82 83 22
 71 83 80 78 26 84 36 18 84 90 12 65 57 94  8 37 59 72 57  4  2 72 43 92
 69 67 11 29 51 11 20 36 14 62 19 48 75 92 20  4 60 69 48 16 94 57 33 44
  1 17 33 52  7 95 70 67 44 12 63 60  7  1 52 42 28 24 16 78 48 24 18 92
  8 33 62 14]"
1330,868,528,2.518939393939394,1.643939393939394,"[46 28 63 44  4 56 17 93 30  4 43 64 62 78 67 54 65 67 23 92 14 54 67  7
 96 90 74 95 56 41 49 42 53 55 52 59 88 97 22 41 16 11 60 53  7 88 29 67
  1 89 14 27 80  8 12  4 72 26 64 22 67 51 99 20 14 60 15 72 61 18 72 77
 44 26 88 75 70 92 48 95 94  8 47 82 11 59 94 55 95 64 40 38 62 19 81 63
  7 24 49 23]"
1179,665,492,2.3963414634146343,1.3516260162601625,"[28 25 62 37 98 71 48 91 18 96 18 70 10 55 78 46 70 30 76 29 96  3 52 26
 47  5 57 76 79 44 54 85 29 74 23 76 24 42 48 42 39 77 53 97 32 47 32 82
 50 52 39 87 35 94 38 79 24 65 72 21 15 98 92 66 66 67  8 89 14 33  2 35
 95 72 58 34 88 82 54 18 50 70 27 85 66 15 60 17 20 43 64 95  3 90 56 11
 12 70 18  7]"
1212,642,512,2.3671875,1.25390625,"[48 82  3 51 70 27 92 62 54 92  1 47 21 66 88 47 32 74 15 39 14 84 36  2
 97 41 48 19 99 67 24 15 64  1 37 33 99 14 35 75 93 37 88 62 15  5 65 38
 63 18 31 77 54 97 48 86 92 21 47 41 58 75 29 76 77 95 79 66 35 14 90 64
 64 33 69 71 78 41 54 18 31 42 51 63 69  8 36 77 89  6 69 59 89 60 75 32
 51 32 84 29]"
2201,1211,871,2.5269804822043627,1.3903559127439724,"[52 84 45  2 57 56  3 56 23 97 49 47 27 59 33 51 12 64  1 11 22 44 61 70
 37 55 21 47 88 75 33  3 62 75 53 19 18 49  1 59 28 19 77 98 80  2 22 77
 32 18  5 70 35 55 29 28 39 38 76  9 10 17  5 51 53 92 97 13 45 74 28 59
 80 46 68 38 15 67 81 72 84 44 40 18 77 11 73  6 23 77 36 51 83 61 11 79
 29 80 36 29 67 53 85 97 22 86 44 97 90 62 37 14  5 25 86 50 97  8 59 98
 59 40 67 83 31 18  7 75 50 83 39 88 17 11 32 72 17 32 84 51 97  6 39 64
 93 50 37 44 27 25]"
1897,1049,756,2.509259259259259,1.3875661375661377,"[48 83 95 14 47 86 37 15 18 14 35 57 87 98 53 65 21 18 86 81 51  4 66 92
 33  2 84 14  6  1 25 47 26 85 81 74 53 26 92 15 17  4 51 51 77 69 10 12
 15 48 80 38 81 83 19 57 30 31  8  6 64 84 63 79 59 82 82 39 99 48 95 93
 90 40 29 79 61 36 40 34 69  3  1 40 90  1 15 92 62 70 32 65 66 57 66 96
 74 87 13 41 19 19 91 90  2  4 33 43 26 23 51 16 44  8 75 30 98 27 92 22
 16 93 18 20 68 47 77 98 18 74 30 39 49 65 74 71 54 82 94 77 14 52 95 74
 82 77 43 59  3 43]"
1842,922,780,2.3615384615384616,1.182051282051282,"[70 58 55 61 21 72 83 13 75 31 17 57  3 63 10 81 68 94 32 47 60 18 71 42
 61 96 93 49 26 76 65 84 48 19 87 72 76 28  5 20 50 44 91  9 49 46  7 64
 77 51 84 76 67 20 93 48 28 40 82 23 95 34 90 19 11 59 12 62 32 74 67 63
 97 62 75 85 15 30  9 95 45 67 71 46  9 50 49  1 48 68 54 61  2 47 97 85
 24 63 93 64 11  8 67 81 57 35 42 58 22 37 62 63 93 75 42 85 62 55 14 92
 98 32 23 63 39 41 27 22 96 35 61 33 32 49 65 55  7 49  6 28 69 67 83  3
 41 39 13 65 26  5]"
