N=100 and K=3,,,,,
Virtual cost,Physical cost,Optimal Cost,vCost/OptimalCost,pCost/OptimalCost,Sequence
227,159,91,2.4945054945054945,1.7472527472527473,[22 72 52 47 72 55 96 33 49 32]
169,127,95,1.7789473684210526,1.3368421052631578,[10 26 40 85 27 71 17 43 36 32]
194,120,96,2.0208333333333335,1.25,[30 72 59 21 11 49 56  3 12 62]
171,95,90,1.9,1.0555555555555556,[16 99 36 63 33 12 59 68 60 91]
232,168,108,2.1481481481481484,1.5555555555555556,[92 45 30 11 18 12 70 80 69 61]
196,124,94,2.0851063829787235,1.3191489361702127,[49 18 66 32 71 85 80 44 40 17]
229,121,117,1.9572649572649572,1.0341880341880343,[62 44 75 38  3 57 45 71  2 32]
168,72,72,2.3333333333333335,1.0,[ 2 12 50 26 62 98 18 49  9 46]
249,127,113,2.2035398230088497,1.1238938053097345,[60 31 17 35 96  2 96  9 36 86]
127,107,81,1.5679012345679013,1.3209876543209877,[69 99 16  4 98 81 83  5 29 83]
277,183,140,1.9785714285714286,1.3071428571428572,[17  7 49 62 69 79 55 99 11 65  4 40 69  9 57]
320,174,161,1.9875776397515528,1.0807453416149069,[74 13 33 74 65 20 43 92 93 71 18 13 16 52 59]
273,165,144,1.8958333333333333,1.1458333333333333,[89 34 64 62 67 75 62 68 50 97 54 67  6 85 22]
328,150,140,2.342857142857143,1.0714285714285714,[84 85 89 20 81 91 11  9 67 36 19 52 40 43 76]
281,141,123,2.2845528455284554,1.146341463414634,[53 98 22 78 97 46 42 37 92  9 36  6 75 12 37]
387,203,135,2.8666666666666667,1.5037037037037038,[48 48 22 84  1 52 17 30 24 45 14 59 73 34 12]
363,217,113,3.2123893805309733,1.920353982300885,[30 88 70 52 48 76 81 23 47 18 75 30  6 77 37]
290,256,154,1.8831168831168832,1.6623376623376624,[74 24 92 98 94 81  3 98 50 38 87 36 59 47 67]
277,247,136,2.036764705882353,1.8161764705882353,[49  4 56 20 15  4 28 12 88  9 56 55 58 42 75]
288,148,109,2.6422018348623855,1.3577981651376148,[79 77 61 51 81 88 59 91 73 71 44 13  4 68 67]
483,223,189,2.5555555555555554,1.17989417989418,[39 17 61 92 64 25 27 94 39 64 97 88 20 89 65 10 91 32 78 39]
367,179,148,2.47972972972973,1.2094594594594594,[79 30  5 75 76 91 58 83 23 80 53 58 84 25 90 98 19 29  1 94]
399,237,180,2.216666666666667,1.3166666666666667,[14 35 45 63 82 32 39 45 68 46 63  6  3 52 17  9 87 51 46 16]
241,181,161,1.4968944099378882,1.124223602484472,[19 87 12 27 30 94 35 33 83 30 86 81 83 81  1 88 48 44 16 30]
346,208,176,1.9659090909090908,1.1818181818181819,[23 78 72 54 83 87 90 55 99 72 48 87 65 87 32 35 95 48 30 66]
252,196,136,1.8529411764705883,1.4411764705882353,[42 61 14 52 31 52 12 51 43 21 96 92 48 35 41 59 16  7 53 12]
428,272,206,2.0776699029126213,1.3203883495145632,[83 83 32 71 84 25  2 77 43 25 41 62 49 92 26 40 26  8 77 20]
347,219,189,1.835978835978836,1.1587301587301588,[21 99 79 33 37 77 46 73 29 21  9 91 82 96 53 73 19 19 24 75]
373,199,157,2.375796178343949,1.267515923566879,[92 62 85 83 45 57 90 36 50 40 29 69 80 54  6  5 25 34  5 75]
335,163,143,2.3426573426573425,1.1398601398601398,[53 70 59 47 14 86 13 88 45 55 82 95  5 90 92 85 52 85 74 72]
1195,619,477,2.5052410901467503,1.2976939203354299,"[58 47 38 46 11 69 56  6 32 67 18 23 94 63 24 53 75 19  1 12  9 59 20 12
 58 22 36 60 20 91  1 84 25 31  6 88  8 43 68 82 90 92 55 34  3 70 36 64
 26 43]"
1136,636,424,2.6792452830188678,1.5,"[46 24 55 16 84 18 49 43 22 42 96 52  2 41 43 82 48 81 41 84 98 75  3 34
 43 29 17 35 88 68  4 76 33 68 58  8 35 41 81 56 44 57 89 38 29 62  4  7
 88 48]"
792,476,426,1.8591549295774648,1.1173708920187793,"[ 9 43 45 44 56 30 60 76 43 26 65 67 90 33 69  5 76 58 90 80 70 18 25 16
  2 14  5 61 63 95 14 87  5 69 87 94 57 55  1 24 96 27 41 30 92 44 53 63
 58 54]"
1245,595,410,3.0365853658536586,1.451219512195122,"[35  9 30  2 94 32  1 87 37 63 52 33 45 26 48 15 12 17 71 31 65  5 36 27
 72 41 76 20 82 43 11 79 41 36 50  5  4 67 59 31 45 94 59 85 92 68 36 89
 46 77]"
1056,532,452,2.336283185840708,1.176991150442478,"[81 63 61 96 83 32 97 18 79 44 77 97 56 86 13 36 99 77 20 30 22 97 21 66
 13 86 44  5 40 65 65 16 99 83 51 78 30 53 32 89 32 59 67 86 68 65 35 23
 66 30]"
1128,588,430,2.6232558139534885,1.3674418604651162,"[68 26 27 50 54 48 15 40 22 40 33 98 41 67  4 59 13 53  3 59 33 79 66 85
 28  7 86 21 86 30 19 67 25 99 64 43 10 83 62 60 40 98 49 21 61 28 90 52
 19 59]"
1114,622,476,2.3403361344537816,1.3067226890756303,"[18 41 83 11 97 92 47 80 51 60 52 19 22 15  8 75 49 87 43 29 60 67 69 50
 49 20  1 53 93 31 94 71 83 71 40 43 22 11 18 94 88  9 67 99 94 42 55 46
 85 27]"
1209,583,403,3.0,1.446650124069479,"[39 69 26 14 71 93  9 72 95 45 76 62 36 53 61 40 81 58 81 21 65 32 24 92
 79 71 57 85 93 25 61 76 97  5  8 98 98 66 42  2 66  4 76 20 32 83 85 83
 81 64]"
931,461,390,2.387179487179487,1.182051282051282,"[41 61 55  7 48 38 41 92 64 22  8 71 11 99 25 70 83 77 81 38 73 81 30 33
  4 78 17 41 37 83 89 24  9 26 10 83 65 11 63 69 26 46 76 71 90 64 53 78
 80 61]"
975,487,439,2.2209567198177678,1.1093394077448746,"[75 73  2 92 81  3 73 69 85 88 99 64 59 38 65 74 87 57 73 21 27 93 57 35
 72 28 81 41 35 85 20 34 85 81 88 19 78 95 36  5 72  7 82 84 96 67 60 22
 34 94]"
2516,1396,994,2.5311871227364184,1.404426559356137,"[34 28 49 15 58 80 11 45 46 10 50 23 86 60 82 80 42  6 86 88 78 55 18 15
 11 60 33 66 49  5 62 96 50 76 23 70 87 91 36 15 44 42 62 26 97 53 78 92
 32  6 69 97 66 52 17  3 25 95 23 44 11 67 35 60 64  8 39 97 11  1 88 77
 65 20 48 94  2 83 25 96 73 95 40  9 94 26 94 17 37 44 26 14 88 72 31 54
 82 68  2 37]"
1958,1122,834,2.3477218225419665,1.3453237410071943,"[42 68 63  7 76 26 90 36 90 90 69 63 59 40 53 69 57 90 99 40 86  4 30 11
 90 40 73 68 53 78 22 36 72 84 86 93 94 31 86 15 88 32 40 50 33 19 18 23
 56 20 62 48 60 77 55 84 10 45 26 13 86  6 92 54 73 74 78  1 11 18 46 96
 78  7 40 65 30  3 56 59  4 19 34  6 17 74 83 18 57 64 49 34 17 95 26  1
 57 26 33  1]"
2155,1281,828,2.6026570048309177,1.5471014492753623,"[54 81 67  5 98 89 89 40 20 68 63 36 40 37 40 65 64 70 83 90 70 82 98 72
 43 18 85 81 46 18 56 28 94  5 58 59 10 46 15  4 67 38 80  5 11  3 40 92
 20 27 73 43 21  2 17 53 39 72 36 51 54 73 47 56 68 94 88  1 10 31 87 69
 23  7 50  8 94 72  3 25  8 23 95 63 35 58 22 82 66 43 44 65 63 85 78 31
 59 16 73 51]"
1938,1100,864,2.2430555555555554,1.2731481481481481,"[46 14 43 27 15 29 90 45 71 59 45 36  1 21 38 11 25 99 82 15 79 76  3 58
 82 91 63 74 42 65 53 67 58 24 40 87 95  1 71 75 65 74 59 88 62 29 89 79
 65 34 71  7 60 69  7  5 36  7 26 75 59 64 11 12 39 74 76 28 75 70 55 54
 43 98  4 80 71 43 65 19 35 41 60 14  1 22  8  8 87 34 88 10 90 93 49 69
 65 16 55 39]"
2218,1164,919,2.4134929270946683,1.2665941240478782,"[11 28 87 78  7 93 66 32 66 16 35 18 98  6  4 73 99 56 22 53  6 27  4 51
 26 12 75 19 29 65 65 72 12 66 88 96 95 66 13 24 58 18 80 42 49 44 26 29
 50 50 38 22 57 99 39 65 50  5 38 64 53 21 46 35  9 12 72 14 18 98 57 40
 77 11 96 71 26 14 70 33 32 54 40 52 96 22  2  9 48 78 88 54  9 46 37 57
 12 25 78 28]"
2098,1184,790,2.6556962025316455,1.4987341772151899,"[ 2 48  4 84 92 45 29 21 31 93  4 40 86 70 96 25  2 57  2 26 98 36 88 65
  3 70 10 98 98 57 54 85 61 14 77 37 37 68 43 65 56 12 64 15 48 31 43 29
 69 69 36 79  2 87 54 28 35 50 81 43 87 44 61 27 65 97 82  7 31 60  4 25
 38 47 54 24  5 29 48 52 49 60 44 60 63 73 87  3 45 97 79 17 44 85 54 46
 62 89 90 62]"
2024,1158,804,2.517412935323383,1.4402985074626866,"[92 64 30 48 34 46 20 92 36  5 33 87 30 34 98 36 75 21 48 90 97 77 74 33
 15 26  3 76 92 82 67 58  6  1 97 60 96 86 36 34 97 41  5  3 43 53 70 58
 61 47 93  5 11 50 64 83 85 88 47 89 18 43 83 59 19 32 12 34 78 68 34 97
 63 22 28 42 29 50 38 93 56 28 21 33 22 42 54 42 38 69 11 27 16 17 29 75
 94 91 87 44]"
1838,1106,827,2.222490931076179,1.3373639661426844,"[34  9 38  1 79 67 40 12 86 15 86 84 26 97  4 50 23 51 24 56 74 91 67 69
 17 27 96 63 56  1 79 50 82 54 42 92 85 54 88 65 82 76 42 16 34 28 34 10
  2 70 41 73 17 84 93  8 39 95 99  4 17 68 63 82 27 25 77 30 85 17 50 78
 63 64 47 74 54 72 75 71 46 48 68 20 15 19 37 92 99 88 67 79 46 94 16 75
 47 98 74 33]"
1974,1000,824,2.395631067961165,1.2135922330097086,"[ 5 70 58 55 16 70 14 43 92 48 12 83 10 17 85 80 51 38 43 63 93 31  9 87
 42 13 64 30 35 27  9  3 28 22 38 72 16 29 92 24  4 87 58 74 53 88 24 77
 72 30  5 16 74  4 81 12 12 85 60 80 18 56 54 61 67 55 91 23 65 30 81 24
 83 29 80 73 80 45 18 12 65 77 56 86 15 21 77 32 20 23 28 89 25 23 29 39
 78 21 95 18]"
2262,1188,919,2.4613710554951034,1.2927094668117518,"[74 92 14 18 20 58 48 86 56 20 51 46 51  3  4 42 89 22 50 73 96 87 73 45
 20 52 96  4 88 90 55 14 12  7 54 97  3  9 35 50 75 20 73 26 41 28  8 59
 20 27 48 97 31  2 27 40 55 66 42 54 21 42  7 79 62 41 13 44 72 71 35 93
  3  8 83 75 30 44 48 98 17 32 85 44 25 16 72 16 18 34 24 97  5 90 48 99
 29 90  9 48]"
4386,2254,1612,2.7208436724565757,1.3982630272952854,"[ 3  5 99 85 41 94 74 13 29 24  9 72 26 63 95 44 79 73 70 96 55 31 41 74
 77 80 31 56 52 87 23 91 50 24 51 28 69 58 82 69 56 75 99 44 47 76 48  8
 10  4 64 59 31  4  5 69 53 66 24 31 55 69 75 54 47 58 23 17 15 52 94 40
 54 35 33 75 13 58 27 75 96 60 23 40 45 99 88 67 40 51 46 75 44 35 43 97
 32 40 66 95 76 10 35 77 29 45 89 93 14 97 76 70 30 22 20 37 42  2 14 43
 89 36 10 94 72 13 71 42 99 75 78 32 45 60 72  6 66 54 34 40 61 46 20 68
 67  8 99 19 12 46 36 76 38 38 19 84 99 53 45 69 80 62 83 87 41  4 15 86
  2 90 79  4  5  7 67 25 90 95 71 12 28 14 32 75 85 86 48 34 16 40 69 66
  6 69 23 35 70 31 65 51]"
4254,2366,1686,2.5231316725978647,1.4033214709371293,"[79 78 46 91 99 42 60 95 49 25 45 91  3 52 98 50 37 21  5 20 70  5 60  7
 89 60 72 45 14 78  2 75 49 90 63 85 43  4 46 22 54 82 46 95  8 64 73 75
 81 96 59 85 73 43 10 75 76 27 25 16 32 35 44 35 33 50 43 98 47 72 40  2
 99 16 92 45 58 97 97  4 33  2 67 38 46 23 19 95  3 54 34 21 95  7  8  1
 40 75 75 93 22 69 29 23 33 12 50  6 71 42 71 52 30  2 52 92 87 21 38 75
 50 70 26 29 46 13 39 49 49  9 40 23 36 31 55 57 55 34 43 20 92 48 15 86
 99 49 32 63  4 25 83 23 50 94 33 30 17 87 71 47  7 43 92 35 67 85 38  1
 64 28 83 52 30 51 74 87  7 44 65  6 78 35 74 19 28 70 30 29  4 40 71 47
 70 82 92 52 94  2 46 13]"
4354,2348,1705,2.55366568914956,1.377126099706745,"[77 95 11 31 75 29 60 67 57 29  2  5 56 83 68 99 94  5 48 91  7 53 47  8
 68 32 36 58  4 67 13 75 95 88 92 55 12 38 64 88 10 54 39 46 73 78 71 68
 34 19  3 49 81  1 99 76 72 90 82  1 49 66 17 41 85 51 93 22 68 69 87 31
 34 42 82 49 87 84 87 28 61 12 49 41 10 16 91  1 46 39 48  9 59 48 44  7
 44 58 12 78 77 36 39 51  7  8 36  2 45 32  7 15 16 29 82 11 24 36 57 49
 94 39 77 19 85 15 92 33 40 94 32 49 53 19 69 29 61 43 15 69 90 95 23 48
 48 20 96 79 36 77 66  7  3 88 59 88 13 73 48 46 98 75 30 99  7  9 72 15
 24 37 65 70 70  1 18 72 45 32 29 90 77 58 66 34 85 27  7 20  1 85 94 80
 87  7 17 53 53 84 32 79]"
4143,2299,1719,2.4101221640488655,1.3374054682955208,"[98 43  6 32 17 70 11 69 10 13 34 42 44 12 18 53 45 59 65  5 84  7 31 89
 20 67 12 35 26 41 40 39 53 41 13 94 28 67 41 78 24  8 31 62 93 97 20 79
 91 22 42  2 39 15 91 25 46 68 65 36 46 23  9 40 82 16 55 43 29  4 49 44
 70 29 61 67 37 80 80 30 87 80 62 25 48  9 94 45 54 20 73 79 92 64 92 76
 42 41 15 16 38 14 37 31 78 24 74 76 38 40 93 22 78  9 66 16 18 88 44 17
 93 64  9 97  2 88 92 64 44 21 14 24 80  2 57 74 53 85 42 51 94 31 89 18
 46 26 80 27 31 52 68 58 76 13 82 51  5 14 25 32 65 31 69 32 74 72 99 52
 77 85 79 46 90 62  5  8 88  3 22 77 99 37 46  4 46 78 48 37 25 16 31  1
 83 47 53 11 87 34  9 10]"
4294,2260,1743,2.463568559954102,1.2966150315547906,"[83 13 51 23 24 53 29 92 95 45 72 84 52 79 42  5 52 88 71 35  4 57  4 98
 18 57 98 92 50 23 22 28 84 67 95 67 10 36 98 49 25 20  8 65 10 79 69 24
 66 30 70 87 78 21 35 15 15 10 34 84 20  3 61 46 49 10 70 86 85  8 99 74
 73 89  7 63 91 32 57 66 51 92 73 29  7 97 33 79 16 14 17 14 24 87 65 42
 34 17 44 31 35 83 27 97 62 17 33 52  2 53 34 96 52 71 61 83 45 41  9 60
 36 88 80  9 78 46 36 82 60 65 13  6 12 62 63 72 82 83 62 76 80 91  4 32
 10 58 33 65 44 58 77 70 54 54  4 39 29 66 36  2 45 54 76 86 24  6 48 69
  4 23 21 86 25 52 75 96 84 42 25 16 32 93 13  5 86 74 57 64 13 11 91  2
 82 77 37  1 25 78 35 89]"
4500,2676,1715,2.623906705539359,1.5603498542274052,"[27 20 68 18  8 43 59 58 73 22 98 28 30 26 23  8 80 44 45 60 50  8 28  6
  2 28 24  9 73 85 66 84 32 44 93 86 63 28 45 61 78  5 97  6 73 41 91 31
 95 68 85 65 87 13 27 30 87 85 55  8 13 33 44 36 13 99 98 22 58 12 75  2
 85 97  1 99 50 47 32  5 13 17 84 53 60 78 70 73 94 15 77 62 32 88 54 63
 76 50 95 75 32 82  9 64 25 37 79 79 36 92 29 86 42 52 90 28 74 60  6 83
 73  4 64 92 37 58 64 16 83 59 95 28 89 15 68  2 44 54 27 91 78 67 19 81
 79 47 15  8 89 80 24 68 76 66 85 86 64  2 54 62 15 93 10 20 96  6 70 36
 10 68 34 27  3  3 91 97  7 76 82 40 97 23 76 82 21 69 82 62 78 33 95 23
 25 38 25 16 43 95 43 52]"
4458,2472,1686,2.6441281138790034,1.4661921708185053,"[97 29 52 41 28 16 76 36 30 81  7  8 20 41 82 42 57 11 48 59 99 32 85 64
 60 52  7  6 95 75 97  2 95 32 29 17 92  5 52 58 16 31 73 12 61 63 94 64
 72 72 81  5  5 57 18 24 84 36 93 45 25 49 78  6 90 49 47 91 42 19  7 82
 86 87 83 76 85 47  5  8  9 82 46 55 37 42 26 95 45 52 70 27 51  7 91 48
 84 89 73 34 55 78 30 80 46 95 31 57 30 45 43  6 49 67 64  1 63 52 37  8
 25 24 39 85 21 25  7 59  2 68 36 85 36 17 29 66 82 85 36  1 24 92 17 11
 66 28 46 38 14 99 84 90 59 89 95 52  7 82 73 91 60 61 33 40 77 88 19 57
 91 44 58 91 26 59 60 88 78 13 64 14 64 59 67 28 32 81 16  9 70 59 45  6
 77 25 33  6 60 82 27 35]"
