N=20 and K=3,,,,,
Virtual cost,Physical cost,Optimal Cost,vCost/OptimalCost,pCost/OptimalCost,Sequence
5,5,5,1.0,1.0,"[10, 11, 10, 10, 10, 10, 10, 9, 10, 10]"
8,6,4,2.0,1.5,"[10, 12, 11, 10, 9, 9, 11, 11, 11, 9]"
6,6,4,1.5,1.5,"[9, 11, 10, 11, 9, 9, 10, 9, 10, 10]"
9,9,9,1.0,1.0,"[10, 10, 10, 10, 10, 10, 11, 10, 12, 11]"
4,4,2,2.0,2.0,"[10, 9, 11, 11, 12, 9, 10, 10, 9, 10]"
13,13,11,1.1818181818181819,1.1818181818181819,"[11, 11, 9, 9, 10, 11, 11, 11, 8, 10]"
17,11,9,1.8888888888888888,1.2222222222222223,"[11, 8, 11, 11, 10, 10, 10, 8, 13, 9]"
17,17,11,1.5454545454545454,1.5454545454545454,"[10, 10, 11, 8, 10, 10, 11, 10, 8, 10]"
22,20,12,1.8333333333333333,1.6666666666666667,"[11, 12, 8, 9, 13, 10, 10, 11, 10, 13]"
9,7,7,1.2857142857142858,1.0,"[10, 12, 9, 11, 11, 9, 8, 10, 10, 12]"
31,29,15,2.066666666666667,1.9333333333333333,"[10, 10, 9, 10, 9, 8, 10, 8, 10, 10, 9, 8, 8, 11, 11, 10, 11, 10, 8, 10]"
19,19,13,1.4615384615384615,1.4615384615384615,"[10, 10, 9, 11, 12, 12, 12, 10, 10, 10, 11, 11, 11, 11, 8, 10, 9, 11, 11, 10]"
35,31,17,2.0588235294117645,1.8235294117647058,"[8, 12, 9, 10, 8, 9, 10, 10, 12, 10, 8, 9, 10, 9, 9, 11, 11, 10, 10, 11]"
17,9,7,2.4285714285714284,1.2857142857142858,"[10, 9, 10, 11, 10, 11, 9, 11, 11, 13, 11, 11, 11, 9, 10, 10, 10, 11, 11, 9]"
19,17,11,1.7272727272727273,1.5454545454545454,"[10, 10, 9, 10, 11, 10, 9, 10, 10, 11, 10, 8, 11, 10, 9, 10, 10, 10, 10, 10]"
21,19,12,1.75,1.5833333333333333,"[12, 8, 11, 9, 9, 9, 11, 10, 10, 10, 10, 12, 9, 10, 11, 11, 9, 12, 10, 8]"
20,18,13,1.5384615384615385,1.3846153846153846,"[12, 10, 11, 10, 10, 9, 10, 10, 11, 11, 8, 8, 13, 11, 10, 12, 10, 10, 10, 10]"
24,24,18,1.3333333333333333,1.3333333333333333,"[10, 10, 9, 10, 10, 11, 8, 10, 11, 12, 9, 12, 10, 11, 10, 11, 12, 11, 11, 10]"
12,10,8,1.5,1.25,"[9, 10, 10, 11, 9, 10, 11, 10, 9, 11, 11, 11, 10, 11, 10, 10, 9, 11, 9, 8]"
12,10,8,1.5,1.25,"[11, 12, 11, 10, 10, 11, 10, 9, 10, 13, 10, 10, 11, 9, 11, 10, 10, 11, 10, 11]"
47,35,19,2.473684210526316,1.8421052631578947,"[11, 11, 10, 11, 10, 10, 11, 11, 10, 9, 9, 9, 12, 10, 9, 11, 13, 10, 12, 10, 9, 10, 11, 9, 10, 10, 8, 10, 12, 12, 9, 11, 9, 10, 11, 9, 10, 9, 11, 10, 10, 10, 11, 11, 9, 8, 8, 9, 10, 9]"
62,44,27,2.2962962962962963,1.6296296296296295,"[8, 10, 10, 11, 12, 10, 12, 10, 10, 10, 10, 11, 12, 9, 12, 11, 8, 10, 10, 9, 11, 10, 10, 11, 10, 10, 8, 11, 11, 9, 11, 8, 11, 10, 10, 10, 11, 11, 12, 11, 12, 9, 10, 12, 10, 9, 10, 11, 9, 10]"
39,33,19,2.0526315789473686,1.736842105263158,"[10, 11, 10, 11, 9, 11, 10, 11, 10, 10, 11, 8, 9, 11, 10, 10, 11, 9, 10, 9, 11, 11, 12, 8, 9, 9, 9, 9, 9, 10, 11, 8, 10, 9, 11, 10, 10, 10, 11, 10, 10, 10, 12, 11, 9, 9, 10, 10, 10, 9]"
58,56,31,1.8709677419354838,1.8064516129032258,"[10, 11, 9, 12, 10, 9, 10, 10, 12, 8, 8, 10, 9, 10, 9, 12, 10, 10, 11, 11, 10, 9, 8, 10, 9, 10, 10, 10, 9, 9, 11, 9, 9, 9, 10, 11, 11, 11, 10, 9, 12, 11, 8, 11, 11, 13, 11, 11, 10, 10]"
35,29,14,2.5,2.0714285714285716,"[10, 10, 9, 10, 10, 9, 11, 9, 11, 10, 9, 10, 11, 11, 10, 9, 11, 9, 8, 11, 10, 9, 12, 10, 10, 9, 10, 10, 11, 11, 10, 10, 11, 9, 9, 12, 11, 12, 9, 8, 10, 9, 10, 9, 11, 9, 10, 9, 9, 11]"
64,58,27,2.3703703703703702,2.1481481481481484,"[10, 12, 9, 9, 11, 11, 10, 8, 10, 11, 10, 10, 10, 11, 12, 10, 8, 10, 10, 8, 9, 13, 9, 11, 9, 10, 10, 10, 10, 9, 9, 9, 12, 8, 11, 11, 8, 9, 9, 12, 9, 11, 10, 8, 10, 11, 10, 9, 10, 10]"
31,25,15,2.066666666666667,1.6666666666666667,"[9, 10, 11, 11, 10, 9, 11, 9, 10, 11, 10, 11, 9, 11, 8, 10, 10, 11, 12, 9, 10, 9, 10, 10, 10, 9, 10, 10, 10, 12, 11, 11, 11, 11, 10, 10, 10, 11, 10, 11, 9, 11, 10, 10, 11, 10, 11, 9, 9, 11]"
43,41,21,2.0476190476190474,1.9523809523809523,"[10, 10, 10, 10, 12, 11, 9, 11, 10, 11, 10, 9, 10, 9, 11, 9, 10, 9, 8, 10, 10, 10, 10, 11, 11, 9, 11, 10, 9, 8, 11, 12, 9, 11, 10, 11, 11, 11, 10, 10, 12, 9, 9, 10, 10, 9, 10, 10, 10, 10]"
30,28,14,2.142857142857143,2.0,"[10, 10, 9, 10, 9, 8, 10, 11, 8, 10, 9, 10, 9, 10, 11, 12, 10, 9, 10, 9, 10, 11, 11, 12, 10, 10, 9, 11, 9, 11, 11, 10, 11, 11, 9, 11, 9, 10, 10, 10, 10, 9, 11, 10, 10, 10, 8, 11, 11, 8]"
44,42,23,1.9130434782608696,1.826086956521739,"[10, 8, 10, 11, 10, 12, 11, 9, 8, 9, 10, 9, 10, 10, 10, 10, 12, 11, 9, 8, 10, 10, 10, 10, 10, 11, 11, 11, 9, 9, 11, 10, 8, 7, 9, 10, 10, 10, 10, 10, 9, 11, 11, 9, 10, 11, 10, 10, 11, 10]"
