N=20 and K=3,,,,,
Virtual cost,Physical cost,Optimal Cost,vCost/OptimalCost,pCost/OptimalCost,Sequence
34,20,18,1.8888888888888888,1.1111111111111112,"[9, 11, 12, 7, 8, 10, 9, 9, 8, 11, 10, 8, 10, 10, 12, 11, 12, 11, 9, 11]"
14,12,7,2.0,1.7142857142857142,"[10, 11, 9, 10, 11, 10, 10, 10, 12, 9, 10, 10, 9, 9, 10, 11, 9, 11, 10, 10]"
19,15,11,1.7272727272727273,1.3636363636363635,"[10, 9, 10, 8, 8, 10, 9, 10, 9, 10, 8, 11, 9, 12, 11, 9, 10, 10, 10, 11]"
20,20,9,2.2222222222222223,2.2222222222222223,"[12, 10, 11, 12, 10, 9, 8, 10, 10, 12, 11, 10, 11, 10, 11, 9, 9, 11, 8, 9]"
9,9,3,3.0,3.0,"[10, 10, 9, 10, 10, 9, 13, 11, 11, 9, 10, 9, 8, 9, 10, 10, 9, 9, 10, 9]"
28,24,14,2.0,1.7142857142857142,"[11, 10, 11, 11, 8, 11, 9, 11, 8, 10, 11, 8, 10, 12, 11, 10, 9, 10, 11, 10]"
15,11,8,1.875,1.375,"[10, 9, 9, 11, 11, 10, 10, 11, 10, 11, 11, 11, 9, 9, 9, 12, 10, 9, 11, 12]"
17,17,12,1.4166666666666667,1.4166666666666667,"[10, 9, 13, 10, 12, 9, 8, 10, 9, 10, 10, 8, 10, 9, 10, 10, 9, 10, 11, 10]"
6,6,4,1.5,1.5,"[10, 9, 10, 9, 10, 10, 9, 11, 11, 9, 11, 10, 9, 11, 10, 9, 9, 10, 10, 10]"
13,13,7,1.8571428571428572,1.8571428571428572,"[11, 9, 11, 11, 9, 10, 9, 10, 10, 11, 9, 11, 9, 12, 12, 9, 11, 10, 11, 9]"
35,29,16,2.1875,1.8125,"[11, 12, 8, 10, 10, 11, 11, 11, 10, 11, 10, 10, 11, 10, 10, 11, 10, 11, 9, 10, 11, 8, 11, 10, 10, 10, 11, 9, 11, 8, 9, 10, 10, 10, 10, 10, 8, 12, 10, 9, 11, 9, 10, 9, 10, 11, 10, 10, 10, 10]"
25,23,11,2.272727272727273,2.090909090909091,"[10, 11, 10, 9, 10, 10, 10, 10, 9, 9, 9, 9, 11, 10, 9, 10, 11, 10, 11, 11, 12, 9, 9, 10, 9, 10, 11, 10, 10, 9, 9, 10, 9, 12, 9, 10, 10, 12, 9, 10, 8, 11, 10, 10, 9, 11, 11, 10, 9, 11]"
