N=20 and K=3,,,,,
Virtual cost,Physical cost,Optimal Cost,vCost/OptimalCost,pCost/OptimalCost,Sequence
10,10,8,1.25,1.25,"[10, 10, 10, 9, 10, 10, 11, 11, 10, 10, 9, 10, 10, 10, 11, 9, 10, 10, 10, 10]"
11,11,11,1.0,1.0,"[8, 10, 10, 10, 10, 10, 10, 10, 9, 11, 10, 10, 9, 10, 10, 10, 11, 10, 10, 10]"
31,31,21,1.4761904761904763,1.4761904761904763,"[10, 9, 10, 11, 10, 11, 9, 12, 11, 11, 9, 11, 9, 10, 10, 10, 8, 10, 10, 10]"
12,10,8,1.5,1.25,"[11, 9, 10, 10, 10, 10, 11, 9, 10, 10, 11, 9, 10, 10, 10, 10, 10, 10, 10, 10]"
17,17,13,1.3076923076923077,1.3076923076923077,"[11, 10, 10, 10, 11, 12, 9, 10, 10, 11, 11, 9, 9, 10, 10, 9, 10, 10, 10, 10]"
16,16,16,1.0,1.0,"[12, 9, 10, 10, 9, 9, 9, 9, 10, 10, 9, 10, 10, 11, 10, 10, 12, 10, 11, 10]"
27,27,21,1.2857142857142858,1.2857142857142858,"[10, 11, 8, 10, 10, 10, 11, 10, 10, 9, 11, 10, 13, 8, 10, 9, 9, 11, 9, 10]"
33,27,23,1.434782608695652,1.173913043478261,"[9, 10, 8, 11, 12, 11, 10, 8, 11, 11, 12, 8, 10, 10, 8, 12, 11, 10, 11, 9]"
16,14,14,1.1428571428571428,1.0,"[11, 10, 11, 11, 12, 9, 9, 9, 11, 9, 9, 11, 9, 9, 11, 11, 12, 9, 12, 9]"
18,18,18,1.0,1.0,"[10, 10, 10, 10, 11, 8, 10, 10, 10, 10, 9, 10, 9, 12, 9, 10, 11, 11, 11, 9]"
57,55,34,1.6764705882352942,1.6176470588235294,"[9, 9, 11, 9, 9, 8, 10, 11, 10, 10, 8, 9, 9, 10, 8, 11, 10, 11, 10, 10, 11, 9, 11, 10, 10, 9, 9, 10, 9, 10, 9, 9, 9, 11, 9, 10, 10, 11, 9, 10, 10, 9, 10, 10, 9, 10, 11, 11, 10, 10]"
95,75,41,2.317073170731707,1.829268292682927,"[12, 9, 8, 11, 11, 8, 9, 10, 9, 10, 10, 10, 9, 11, 9, 10, 11, 8, 11, 9, 11, 8, 12, 11, 10, 8, 11, 9, 8, 9, 11, 11, 9, 10, 11, 11, 10, 8, 11, 10, 10, 10, 10, 9, 10, 8, 7, 12, 8, 11]"
49,47,35,1.4,1.3428571428571427,"[10, 10, 10, 11, 10, 10, 9, 9, 11, 9, 11, 11, 11, 10, 10, 10, 10, 10, 10, 11, 10, 11, 9, 12, 10, 11, 9, 10, 10, 10, 11, 8, 9, 13, 10, 12, 9, 10, 11, 10, 10, 11, 9, 11, 11, 10, 10, 9, 9, 10]"
77,55,23,3.347826086956522,2.391304347826087,"[9, 10, 10, 11, 10, 11, 10, 10, 10, 11, 8, 8, 10, 11, 10, 10, 11, 11, 9, 10, 9, 9, 12, 10, 10, 11, 10, 10, 9, 9, 10, 9, 11, 11, 12, 10, 9, 10, 10, 11, 10, 8, 7, 10, 12, 11, 10, 11, 13, 9]"
52,48,27,1.9259259259259258,1.7777777777777777,"[11, 11, 11, 10, 7, 10, 9, 11, 11, 10, 11, 11, 10, 9, 10, 9, 9, 9, 10, 10, 10, 11, 10, 8, 11, 10, 11, 12, 8, 10, 9, 8, 9, 9, 9, 10, 10, 10, 8, 12, 11, 11, 11, 11, 11, 10, 10, 9, 12, 8]"
54,50,33,1.6363636363636365,1.5151515151515151,"[9, 11, 10, 10, 12, 11, 9, 12, 10, 10, 10, 10, 11, 10, 11, 11, 11, 11, 11, 11, 11, 9, 10, 10, 10, 9, 10, 9, 12, 11, 9, 10, 11, 10, 10, 10, 11, 10, 11, 11, 11, 12, 9, 11, 12, 11, 9, 10, 10, 11]"
49,41,34,1.4411764705882353,1.2058823529411764,"[10, 10, 10, 9, 11, 10, 8, 12, 9, 10, 9, 10, 10, 8, 11, 11, 11, 10, 12, 11, 11, 10, 11, 12, 10, 11, 10, 9, 12, 11, 10, 10, 10, 10, 10, 8, 9, 11, 9, 11, 12, 9, 11, 12, 9, 9, 10, 10, 10, 10]"
51,49,39,1.3076923076923077,1.2564102564102564,"[11, 12, 9, 10, 11, 9, 9, 9, 11, 12, 10, 10, 9, 11, 10, 12, 11, 8, 11, 12, 11, 9, 9, 9, 11, 11, 11, 11, 9, 8, 10, 10, 11, 11, 10, 10, 9, 10, 9, 10, 10, 9, 11, 10, 10, 11, 9, 11, 11, 10]"
44,38,28,1.5714285714285714,1.3571428571428572,"[10, 11, 9, 11, 10, 9, 8, 11, 9, 8, 10, 10, 10, 11, 11, 10, 10, 10, 11, 11, 9, 11, 10, 10, 9, 8, 10, 11, 11, 10, 9, 11, 10, 10, 8, 10, 9, 10, 10, 11, 10, 11, 9, 11, 11, 9, 10, 11, 10, 11]"
48,42,23,2.0869565217391304,1.826086956521739,"[9, 11, 10, 10, 11, 10, 8, 10, 10, 11, 11, 10, 10, 11, 9, 11, 10, 10, 11, 9, 9, 9, 9, 11, 8, 10, 11, 10, 11, 9, 10, 12, 10, 11, 10, 10, 11, 11, 10, 9, 10, 9, 10, 9, 10, 10, 11, 12, 9, 10]"
125,81,50,2.5,1.62,"[9, 13, 10, 10, 9, 10, 8, 9, 11, 9, 11, 11, 10, 10, 11, 10, 11, 10, 9, 10, 8, 10, 9, 12, 9, 10, 12, 10, 12, 10, 8, 11, 12, 9, 10, 11, 10, 11, 9, 11, 9, 11, 11, 11, 11, 10, 10, 9, 9, 9, 9, 10, 10, 10, 11, 9, 10, 10, 9, 11, 12, 9, 9, 11, 11, 13, 10, 8, 11, 9, 9, 9, 10, 12, 11, 10, 10, 9, 10, 11, 9, 9, 11, 9, 11, 10, 10, 9, 9, 9, 8, 9, 9, 9, 12, 10, 9, 11, 9, 10]"
90,80,45,2.0,1.7777777777777777,"[10, 12, 11, 10, 10, 11, 9, 11, 10, 9, 9, 10, 11, 11, 11, 12, 9, 10, 9, 11, 8, 11, 9, 10, 10, 10, 11, 8, 10, 11, 11, 10, 11, 10, 12, 11, 8, 11, 8, 11, 10, 9, 10, 10, 9, 8, 9, 9, 11, 11, 9, 11, 10, 10, 9, 10, 10, 11, 10, 9, 10, 11, 11, 11, 10, 9, 11, 9, 11, 9, 10, 7, 10, 8, 9, 8, 10, 10, 9, 10, 11, 10, 10, 11, 9, 10, 8, 10, 10, 11, 9, 11, 11, 11, 11, 8, 10, 8, 10, 11]"
124,86,42,2.9523809523809526,2.0476190476190474,"[10, 10, 9, 9, 11, 10, 10, 12, 9, 11, 8, 10, 11, 11, 11, 9, 10, 9, 10, 7, 9, 8, 11, 9, 9, 10, 10, 9, 9, 10, 10, 9, 8, 9, 9, 9, 11, 9, 10, 12, 10, 11, 10, 8, 10, 10, 10, 10, 11, 9, 10, 9, 11, 11, 10, 9, 10, 10, 11, 10, 10, 11, 11, 12, 9, 9, 11, 11, 10, 11, 9, 10, 9, 10, 11, 10, 9, 13, 10, 10, 10, 10, 9, 11, 9, 10, 10, 10, 11, 10, 10, 11, 10, 11, 9, 11, 10, 11, 10, 10]"
54,44,28,1.9285714285714286,1.5714285714285714,"[11, 13, 9, 9, 9, 12, 11, 11, 11, 10, 11, 10, 11, 9, 9, 9, 9, 10, 9, 9, 10, 10, 9, 10, 9, 9, 9, 11, 11, 11, 9, 11, 11, 8, 9, 10, 10, 10, 9, 10, 9, 10, 9, 10, 11, 11, 11, 9, 9, 9, 10, 10, 11, 10, 10, 8, 10, 10, 8, 10, 11, 10, 9, 10, 9, 10, 8, 10, 11, 12, 12, 10, 11, 9, 8, 10, 10, 12, 8, 10, 11, 10, 10, 10, 10, 11, 10, 11, 10, 9, 10, 10, 10, 12, 10, 11, 10, 11, 11, 10]"
121,87,38,3.1842105263157894,2.289473684210526,"[11, 9, 10, 10, 10, 8, 10, 10, 10, 9, 13, 9, 10, 12, 10, 10, 10, 9, 11, 8, 11, 10, 11, 11, 10, 10, 11, 11, 9, 10, 12, 11, 9, 9, 9, 9, 8, 11, 11, 8, 10, 9, 10, 9, 10, 11, 10, 9, 11, 10, 9, 9, 10, 11, 10, 10, 11, 10, 10, 9, 10, 11, 12, 10, 9, 9, 12, 12, 10, 11, 9, 9, 10, 9, 9, 10, 12, 9, 7, 9, 9, 11, 10, 10, 8, 8, 9, 10, 8, 10, 11, 8, 10, 10, 10, 11, 11, 11, 10, 9]"
91,75,39,2.3333333333333335,1.9230769230769231,"[10, 10, 9, 11, 11, 10, 9, 10, 10, 10, 9, 10, 10, 9, 8, 10, 11, 10, 11, 10, 9, 11, 11, 10, 11, 10, 9, 10, 10, 11, 11, 11, 11, 11, 10, 9, 10, 8, 8, 9, 9, 9, 11, 12, 10, 10, 10, 9, 12, 8, 10, 11, 10, 11, 11, 10, 10, 9, 10, 10, 11, 8, 10, 11, 10, 10, 10, 10, 10, 12, 8, 10, 9, 10, 11, 11, 10, 10, 11, 10, 11, 10, 12, 8, 9, 10, 11, 11, 9, 10, 9, 10, 10, 10, 10, 11, 11, 9, 10, 9]"
90,82,47,1.9148936170212767,1.7446808510638299,"[11, 10, 10, 9, 9, 11, 9, 12, 9, 11, 8, 11, 11, 11, 11, 10, 11, 10, 11, 10, 10, 10, 10, 11, 9, 11, 9, 9, 11, 10, 12, 9, 8, 13, 11, 10, 9, 8, 10, 10, 8, 10, 10, 10, 9, 11, 9, 11, 10, 10, 9, 9, 8, 8, 11, 9, 10, 11, 10, 10, 9, 10, 13, 9, 9, 11, 10, 10, 10, 10, 10, 11, 9, 13, 11, 11, 8, 10, 9, 9, 9, 9, 10, 10, 10, 8, 10, 11, 10, 11, 9, 10, 11, 12, 9, 9, 9, 9, 10, 10]"
92,82,42,2.1904761904761907,1.9523809523809523,"[11, 12, 10, 11, 10, 12, 11, 9, 12, 10, 10, 12, 11, 9, 13, 10, 9, 11, 11, 10, 8, 10, 9, 11, 11, 8, 10, 9, 12, 10, 8, 10, 10, 12, 10, 10, 10, 10, 11, 10, 10, 12, 12, 10, 8, 10, 11, 9, 10, 11, 9, 10, 11, 10, 11, 12, 10, 9, 10, 10, 11, 10, 10, 10, 8, 10, 12, 9, 10, 11, 11, 12, 12, 10, 11, 11, 11, 9, 10, 11, 9, 12, 11, 11, 10, 11, 11, 10, 10, 10, 12, 10, 10, 9, 10, 8, 11, 9, 10, 8]"
92,80,33,2.787878787878788,2.4242424242424243,"[9, 12, 9, 11, 10, 11, 10, 11, 7, 10, 10, 10, 11, 9, 11, 9, 10, 10, 11, 11, 11, 9, 9, 10, 8, 9, 9, 10, 8, 9, 10, 9, 9, 9, 9, 10, 9, 11, 10, 10, 10, 10, 10, 12, 8, 11, 9, 10, 10, 8, 11, 10, 11, 9, 10, 10, 10, 10, 9, 8, 11, 11, 9, 7, 9, 10, 10, 11, 11, 9, 9, 10, 11, 10, 10, 7, 11, 10, 11, 10, 11, 10, 10, 10, 11, 10, 9, 11, 9, 9, 10, 8, 9, 9, 10, 10, 11, 9, 10, 8]"
97,75,46,2.108695652173913,1.6304347826086956,"[10, 9, 10, 13, 9, 11, 10, 10, 10, 10, 10, 9, 8, 9, 9, 12, 10, 9, 9, 9, 10, 10, 10, 10, 10, 12, 8, 9, 12, 12, 10, 11, 9, 13, 12, 9, 10, 11, 11, 11, 10, 11, 10, 11, 7, 10, 10, 12, 10, 10, 11, 9, 11, 10, 9, 10, 10, 10, 7, 10, 9, 8, 9, 9, 10, 9, 11, 11, 10, 11, 10, 9, 11, 11, 10, 11, 11, 11, 9, 10, 10, 11, 13, 10, 11, 9, 9, 10, 11, 10, 11, 10, 9, 9, 10, 10, 9, 11, 11, 12]"
