N,K,Virtual cost,Physical cost,Optimal Cost,vCost/OptimalCost,pCost/OptimalCost,length,sequence
20,3,164,142,47,3.48936170212766,3.02127659574468,200,"[10, 11, 9, 10, 10, 11, 9, 11, 11, 10, 9, 10, 10, 10, 11, 10, 11, 11, 10, 11, 10, 10, 10, 12, 11, 10, 11, 11, 11, 11, 10, 10, 10, 10, 10, 11, 12, 8, 10, 9, 9, 11, 9, 12, 11, 10, 8, 11, 12, 11, 9, 12, 10, 10, 11, 8, 10, 11, 10, 9, 11, 10, 12, 9, 9, 10, 10, 9, 9, 11, 12, 10, 9, 10, 10, 9, 11, 10, 9, 10, 9, 11, 9, 10, 10, 10, 11, 9, 10, 10, 11, 9, 10, 10, 11, 8, 10, 9, 10, 11, 9, 10, 12, 11, 11, 10, 10, 10, 10, 12, 11, 10, 12, 9, 11, 10, 9, 9, 11, 10, 11, 11, 10, 10, 9, 10, 10, 10, 9, 11, 10, 10, 9, 10, 11, 11, 12, 12, 11, 12, 11, 9, 11, 11, 9, 11, 9, 9, 10, 9, 11, 9, 9, 10, 10, 10, 10, 10, 12, 11, 9, 10, 10, 10, 10, 11, 9, 8, 9, 11, 11, 10, 12, 11, 11, 9, 11, 10, 11, 9, 10, 11, 12, 9, 10, 11, 10, 11, 11, 8, 10, 11, 10, 10, 11, 10, 9, 11, 8, 11]"
20,3,161,135,43,3.74418604651163,3.13953488372093,200,"[9, 9, 10, 13, 11, 9, 9, 9, 11, 11, 9, 9, 9, 11, 11, 9, 8, 10, 9, 10, 9, 10, 9, 10, 9, 10, 10, 11, 9, 10, 9, 10, 12, 10, 11, 11, 11, 9, 10, 10, 10, 12, 9, 9, 11, 9, 10, 9, 9, 12, 11, 9, 10, 9, 11, 10, 11, 9, 9, 10, 11, 9, 11, 13, 11, 10, 12, 8, 9, 11, 11, 9, 11, 10, 9, 11, 11, 10, 9, 9, 10, 11, 9, 11, 10, 9, 9, 9, 10, 9, 10, 11, 10, 9, 10, 10, 9, 11, 12, 9, 11, 11, 11, 10, 11, 10, 10, 10, 11, 9, 10, 10, 11, 10, 10, 11, 9, 11, 10, 11, 9, 11, 9, 11, 9, 10, 10, 9, 10, 11, 10, 11, 7, 10, 10, 11, 10, 9, 10, 9, 9, 10, 10, 10, 9, 11, 10, 11, 9, 10, 10, 10, 8, 10, 9, 10, 12, 10, 10, 12, 10, 8, 9, 9, 11, 10, 11, 10, 9, 10, 10, 11, 10, 11, 10, 8, 10, 9, 11, 10, 10, 8, 9, 10, 9, 10, 11, 9, 10, 10, 12, 11, 8, 10, 10, 11, 11, 10, 11, 10]"
20,3,169,141,37,4.56756756756757,3.81081081081081,200,"[9, 8, 10, 10, 11, 10, 10, 10, 10, 11, 10, 11, 11, 9, 11, 10, 10, 10, 8, 11, 9, 11, 9, 8, 10, 9, 9, 11, 11, 10, 10, 10, 10, 10, 10, 11, 9, 12, 10, 9, 10, 10, 10, 10, 10, 9, 11, 10, 11, 8, 10, 9, 11, 9, 11, 8, 11, 10, 8, 12, 10, 10, 9, 10, 10, 11, 11, 9, 9, 9, 9, 11, 10, 9, 11, 10, 11, 11, 11, 9, 10, 11, 9, 10, 10, 9, 9, 11, 9, 10, 10, 11, 9, 9, 10, 9, 11, 9, 11, 10, 9, 11, 10, 9, 9, 8, 9, 11, 10, 10, 11, 11, 9, 9, 10, 8, 10, 9, 10, 11, 9, 10, 9, 10, 10, 11, 11, 9, 11, 10, 8, 9, 11, 10, 9, 11, 10, 11, 9, 10, 10, 8, 10, 10, 9, 10, 11, 10, 11, 12, 10, 9, 11, 10, 11, 10, 10, 11, 10, 11, 10, 11, 9, 10, 10, 10, 12, 10, 9, 8, 10, 9, 10, 11, 8, 11, 9, 11, 9, 9, 9, 10, 9, 9, 10, 10, 10, 11, 10, 10, 11, 9, 11, 11, 11, 10, 9, 11, 10, 10]"
20,3,118,80,25,4.72,3.2,100,"[10, 11, 10, 11, 12, 8, 10, 9, 9, 11, 11, 10, 9, 10, 8, 9, 10, 11, 10, 10, 11, 9, 9, 10, 11, 9, 10, 10, 9, 10, 9, 11, 9, 10, 11, 11, 9, 10, 9, 11, 12, 9, 10, 10, 10, 9, 10, 11, 9, 10, 9, 11, 9, 11, 10, 9, 10, 10, 12, 10, 10, 11, 10, 10, 10, 10, 10, 9, 10, 10, 9, 11, 11, 9, 9, 10, 10, 11, 10, 12, 10, 10, 11, 10, 12, 10, 9, 10, 9, 8, 10, 9, 9, 8, 9, 10, 10, 11, 10, 9]"
20,3,118,80,25,4.72,3.2,100,"[10, 11, 10, 11, 12, 8, 10, 9, 9, 11, 11, 10, 9, 10, 8, 9, 10, 11, 10, 10, 11, 9, 9, 10, 11, 9, 10, 10, 9, 10, 9, 11, 9, 10, 11, 11, 9, 10, 9, 11, 12, 9, 10, 10, 10, 9, 10, 11, 9, 10, 9, 11, 9, 11, 10, 9, 10, 10, 12, 10, 10, 11, 10, 10, 10, 10, 10, 9, 10, 10, 9, 11, 11, 9, 9, 10, 10, 11, 10, 12, 10, 10, 11, 10, 12, 10, 9, 10, 9, 8, 10, 9, 9, 8, 9, 10, 10, 11, 10, 9]"
20,3,193,163,52,3.71153846153846,3.13461538461538,200,"[12, 11, 9, 9, 11, 10, 9, 10, 9, 11, 11, 10, 10, 9, 9, 10, 11, 10, 11, 12, 11, 9, 10, 9, 10, 9, 11, 11, 10, 8, 10, 10, 11, 9, 11, 11, 10, 9, 12, 10, 11, 9, 10, 9, 12, 10, 10, 11, 9, 11, 12, 11, 10, 10, 9, 9, 10, 9, 10, 11, 10, 10, 11, 8, 10, 9, 10, 10, 11, 10, 8, 11, 9, 11, 9, 10, 9, 10, 11, 11, 8, 10, 11, 10, 10, 9, 10, 12, 9, 11, 9, 9, 9, 9, 11, 10, 11, 10, 9, 11, 11, 10, 11, 11, 11, 11, 10, 9, 9, 8, 9, 11, 10, 10, 12, 9, 10, 9, 10, 11, 10, 9, 12, 10, 9, 10, 10, 9, 11, 9, 11, 11, 10, 10, 10, 10, 12, 9, 12, 10, 12, 10, 8, 10, 10, 12, 11, 10, 10, 9, 10, 10, 9, 12, 11, 11, 10, 10, 9, 9, 11, 10, 9, 10, 10, 12, 10, 10, 9, 10, 9, 10, 11, 10, 10, 9, 9, 12, 10, 8, 10, 10, 12, 10, 10, 11, 13, 11, 10, 10, 9, 8, 10, 9, 11, 9, 10, 8, 10, 9]"
20,3,282,160,50,5.64,3.2,200,"[12, 11, 9, 9, 11, 10, 9, 10, 9, 11, 11, 10, 10, 9, 9, 10, 11, 10, 11, 12, 11, 9, 10, 9, 10, 9, 11, 11, 10, 8, 10, 10, 11, 9, 11, 11, 10, 9, 12, 10, 11, 9, 10, 9, 12, 10, 10, 11, 9, 11, 12, 11, 10, 10, 9, 9, 10, 9, 10, 11, 10, 10, 11, 8, 10, 9, 10, 10, 11, 10, 8, 11, 9, 11, 9, 10, 9, 10, 11, 11, 8, 10, 11, 10, 10, 9, 10, 12, 9, 11, 9, 9, 9, 9, 11, 10, 11, 10, 9, 11, 11, 10, 11, 11, 11, 11, 10, 9, 9, 8, 9, 11, 10, 10, 12, 9, 10, 9, 10, 11, 10, 9, 12, 10, 9, 10, 10, 9, 11, 9, 11, 11, 10, 10, 10, 10, 12, 9, 12, 10, 12, 10, 8, 10, 10, 12, 11, 10, 10, 9, 10, 10, 9, 12, 11, 11, 10, 10, 9, 9, 11, 10, 9, 10, 10, 12, 10, 10, 9, 10, 9, 10, 11, 10, 10, 9, 9, 12, 10, 8, 10, 10, 12, 10, 10, 11, 13, 11, 10, 10, 9, 8, 10, 9, 11, 9, 10, 8, 10, 9]"
20,3,193,163,52,3.71153846153846,3.13461538461538,200,"[12, 11, 9, 9, 11, 10, 9, 10, 9, 11, 11, 10, 10, 9, 9, 10, 11, 10, 11, 12, 11, 9, 10, 9, 10, 9, 11, 11, 10, 8, 10, 10, 11, 9, 11, 11, 10, 9, 12, 10, 11, 9, 10, 9, 12, 10, 10, 11, 9, 11, 12, 11, 10, 10, 9, 9, 10, 9, 10, 11, 10, 10, 11, 8, 10, 9, 10, 10, 11, 10, 8, 11, 9, 11, 9, 10, 9, 10, 11, 11, 8, 10, 11, 10, 10, 9, 10, 12, 9, 11, 9, 9, 9, 9, 11, 10, 11, 10, 9, 11, 11, 10, 11, 11, 11, 11, 10, 9, 9, 8, 9, 11, 10, 10, 12, 9, 10, 9, 10, 11, 10, 9, 12, 10, 9, 10, 10, 9, 11, 9, 11, 11, 10, 10, 10, 10, 12, 9, 12, 10, 12, 10, 8, 10, 10, 12, 11, 10, 10, 9, 10, 10, 9, 12, 11, 11, 10, 10, 9, 9, 11, 10, 9, 10, 10, 12, 10, 10, 9, 10, 9, 10, 11, 10, 10, 9, 9, 12, 10, 8, 10, 10, 12, 10, 10, 11, 13, 11, 10, 10, 9, 8, 10, 9, 11, 9, 10, 8, 10, 9]"
20,3,193,163,52,3.71153846153846,3.13461538461538,200,"[12, 11, 9, 9, 11, 10, 9, 10, 9, 11, 11, 10, 10, 9, 9, 10, 11, 10, 11, 12, 11, 9, 10, 9, 10, 9, 11, 11, 10, 8, 10, 10, 11, 9, 11, 11, 10, 9, 12, 10, 11, 9, 10, 9, 12, 10, 10, 11, 9, 11, 12, 11, 10, 10, 9, 9, 10, 9, 10, 11, 10, 10, 11, 8, 10, 9, 10, 10, 11, 10, 8, 11, 9, 11, 9, 10, 9, 10, 11, 11, 8, 10, 11, 10, 10, 9, 10, 12, 9, 11, 9, 9, 9, 9, 11, 10, 11, 10, 9, 11, 11, 10, 11, 11, 11, 11, 10, 9, 9, 8, 9, 11, 10, 10, 12, 9, 10, 9, 10, 11, 10, 9, 12, 10, 9, 10, 10, 9, 11, 9, 11, 11, 10, 10, 10, 10, 12, 9, 12, 10, 12, 10, 8, 10, 10, 12, 11, 10, 10, 9, 10, 10, 9, 12, 11, 11, 10, 10, 9, 9, 11, 10, 9, 10, 10, 12, 10, 10, 9, 10, 9, 10, 11, 10, 10, 9, 9, 12, 10, 8, 10, 10, 12, 10, 10, 11, 13, 11, 10, 10, 9, 8, 10, 9, 11, 9, 10, 8, 10, 9]"
20,3,164,134,44,3.72727272727273,3.04545454545455,200,"[8, 11, 10, 10, 9, 11, 10, 11, 8, 10, 10, 10, 8, 10, 11, 10, 11, 7, 9, 10, 11, 11, 11, 10, 11, 9, 9, 10, 12, 10, 11, 8, 11, 9, 10, 9, 9, 10, 11, 11, 11, 12, 9, 10, 11, 9, 8, 10, 10, 9, 10, 12, 11, 9, 10, 10, 10, 9, 9, 10, 11, 9, 11, 11, 11, 9, 10, 10, 10, 11, 11, 10, 11, 11, 9, 9, 9, 11, 10, 9, 10, 11, 10, 10, 12, 9, 10, 10, 11, 10, 10, 9, 10, 10, 10, 10, 11, 9, 11, 9, 9, 9, 9, 10, 10, 11, 9, 8, 12, 10, 11, 9, 11, 9, 10, 10, 9, 11, 10, 9, 11, 10, 11, 10, 11, 10, 11, 9, 9, 9, 10, 11, 10, 11, 10, 10, 10, 11, 9, 10, 10, 10, 9, 10, 10, 10, 9, 10, 11, 10, 8, 9, 11, 11, 11, 10, 11, 8, 10, 10, 10, 13, 10, 12, 10, 8, 10, 12, 9, 11, 12, 12, 13, 10, 8, 10, 10, 10, 9, 9, 9, 9, 11, 11, 10, 10, 11, 11, 9, 10, 9, 11, 10, 10, 9, 11, 10, 8, 11, 10]"
