N=40 and K=3,,,,,
Virtual cost,Physical cost,Optimal Cost,vCost/OptimalCost,pCost/OptimalCost,Sequence
827,497,327,2.529051987767584,1.5198776758409787,"[32 29  3 35 37 37 27 29  3 38 38 10  1 15  8  2 32  7  4  2 10 10 30 30
 34 21 27 29 34  2  4 27  2 14 29 25 12 37 39 12  5  1 33  6 27 18 21  9
 14 10 32 21 20  8 26 29 23  2 21  7 14 31 21  1  6 13 39 27 26 13  2 32
 27 39 24 22 37 27 39 13 39 28 24  8 34  8 29 19 34 14 30 29 21  9 22 21
 36 29  5  3]"
831,479,331,2.510574018126888,1.447129909365559,"[18  9 33 25  8 38 37 39 25 21 34 30 18 34 27 20 34 13 23 33 13  8 35 35
 28 20 24  4 26  2 10 21  4 35 29 26  2 12 20 26 21  2  5 11 18 17 27 24
 30  4 11 30 27 34 35  6  1 34  2 39 31  8 34 29 34 33 23 32 25 31 34 30
 26  3 28  7 16 32 23 23 16 22  6 33  4 36 36 20 13 21 19 24 35  3  1 39
 31 15 13 21]"
731,375,329,2.221884498480243,1.1398176291793314,"[37 17 39 23 18 22 32  3 11  2 10 21 16 17 10 25  6 21 37  1  9 15 16  4
 22 22 12  4  7  4 10  4 17 24 24 23 16 25 13 12 26  6  1  3  8  3 32  2
 35 25 11 10 28  3  9 17 20  9 21  2 23 38 27 30 26 27  5 20  4 36 26  5
  6 14 37 30 34 30 38 20  6  2  3 17  7 22 12 25 26 38 19  2 11 21 28 13
 23 16  5 29]"
935,499,354,2.6412429378531073,1.4096045197740112,"[10 34  4 38 26 13  4 13 32 37 13 31  5 12 26 35 32 31 15 35  7 36  6 12
 32 25 24 20 26  9 10  3 36  7 13 17  2  5  5 14 16 25 34 13 22 37 29 36
 28 39  1 28 32 23 36 29  4 11 19 13 33 29  7 19 35 22  6 20 37 14 38 26
  7  2 14  2 28 21  6 37 37 38 38 28 33 16 29 33 20 19 39 15 33 19  7 11
 30  7 27 24]"
862,472,331,2.604229607250755,1.4259818731117824,"[22  9 34 37 30  4 30 14 34 34 29  5 16  6 12  2 24 10 28 33  9 35  7 18
  3  6 16  3 34 21 35 34 10 36  7 18  8 20  9 25  2 14 21 10 20 12 31 11
  2 29 18  8 26  8 39 10 26 22  5 26 34 32 26  1  5 11  9 32 13 21 34 32
 13 37 15 15 24 34 11 37  3 31 20 21 32 13  5  7 35  8 15 10 31 25  3  2
  4 10 20 12]"
769,463,351,2.190883190883191,1.3190883190883191,"[27  3 29 20 19 30 35  1 29 24 16 14 30  2  9 31 12 23 17  6 14 38 10 24
 38 20 32 32 13 28 30  2 20  7 34 15  3 26 36 32 32 37 36 21 36  8  3 36
  3 17 26 13  8 30  2 13 13 34 27 23  5 26 18 31 39  9 18  6 34  9  1 15
 37  8 36 18 23  2 32  2 14 19  4 32  3  4 19 26 26 15 21 25  1  6 24  6
 26 23 23 34]"
812,466,368,2.2065217391304346,1.266304347826087,"[20 37 15 17 31 38  8 31 30  8  2 30 19 35 12 39 39  5  9 26 19  6 10  7
 35 28  1 24 27 34 14 38 30  2 27 34 24 36 33  2 13 39 17 26  2  6 20 11
 12 16 33 29 38 20 12 20 35 12  3 12 19 10 18  7 27 16  5 31 34 24  3 39
 37 23 14 16 34 39 28 24 18 27 10 19  5 38 28 31 21 24 23 16 21 22 17 30
 23 24 38 20]"
773,469,354,2.1836158192090394,1.3248587570621468,"[30 19 19 36 36  1 35 27  5 16 25 35 16  1  6 37  4 22  5 19 13  6 12 34
  2 22  8 15 20 23 24 21 18 19 28 13  5 34 39 12 14 38 22 39  2 19  5 16
  7  3 26 12 17 26  9  6  3 13 20  2  8 26 31 25  2 26 36  7 13 10 28 11
 30 30 19 11 38  1 32 20 16  7  7 27 18 28  3 19  6 38  7 39 36 26 16 38
 26  7 36 14]"
930,578,358,2.5977653631284916,1.6145251396648044,"[35 20 31 25  8 36  1  1  1 15 15 25 39 13 17 28 10 21 30 24 39 21 34  5
  8 14 18 17  4 35  5 17 10 23 31 38 28 30 28  3 12 30  9 33 16 37 18 16
 14 27 13 33 10 16 29 19  6 23 37 22  3 11 36 11  4 38 29  5 29 23 17  6
  9 19 29 10  2 17 29 37 25  2 15 36  8 36 16  8 27  3  5 18  3  1 26 26
 37 23  2 10]"
878,470,348,2.5229885057471266,1.3505747126436782,"[33 36 37 16  2 34 20 36 35 22  9 39  3  7 18 35 30  5 27 38 19 26 12 11
  8 34 13  6  1 31 31 37 14 16  1 22  7 17  9 21 18 36 15  1 23 10 33 36
 11 22 14 29 32 17 20  6 17 32 17 15 35 13 18 20  6 17 19 28  4 35 11 11
 16  3  7  8 24 24 33 18 16 30 17 26 21 38 34 19 21 25 16 13 35 39 17 22
 29  2  3 11]"
